X;Y;Z
6.423814773559570312e+00;2.899853706359863281e+00;6.470401763916015625e+00
4.699847221374511719e+00;5.578675746917724609e+00;3.893581390380859375e+00
3.924495458602905273e+00;4.833206653594970703e+00;3.573621749877929688e+00
6.575655937194824219e+00;2.996909618377685547e+00;5.101867675781250000e+00
6.380502700805664062e+00;2.834099531173706055e+00;5.657736778259277344e+00
7.259490013122558594e+00;3.177475929260253906e+00;7.253581047058105469e+00
5.718660831451416016e+00;2.977594137191772461e+00;6.572554588317871094e+00
5.094051361083984375e+00;2.645024776458740234e+00;6.684540748596191406e+00
4.937003135681152344e+00;5.642730712890625000e+00;4.165875911712646484e+00
7.114552497863769531e+00;3.323313236236572266e+00;7.126175403594970703e+00
4.928876399993896484e+00;2.641609668731689453e+00;6.575251579284667969e+00
6.659782886505126953e+00;4.061221599578857422e+00;6.844652175903320312e+00
6.842275142669677734e+00;4.647080421447753906e+00;6.751889705657958984e+00
2.535133838653564453e+00;4.995316982269287109e+00;3.621911287307739258e+00
4.709189891815185547e+00;5.656843185424804688e+00;3.958738803863525391e+00
3.953783273696899414e+00;4.249000072479248047e+00;3.889941692352294922e+00
8.125274658203125000e+00;4.096429824829101562e+00;6.732843399047851562e+00
5.650136470794677734e+00;2.789986610412597656e+00;6.503338813781738281e+00
8.605235099792480469e+00;5.385206222534179688e+00;8.273452758789062500e+00
9.024924278259277344e+00;5.014055252075195312e+00;8.088862419128417969e+00
7.672556400299072266e+00;5.126046657562255859e+00;7.990736007690429688e+00
7.628354549407958984e+00;6.096295356750488281e+00;5.546074390411376953e+00
8.913517951965332031e+00;4.243981838226318359e+00;8.496069908142089844e+00
1.046680450439453125e+01;4.008525371551513672e+00;7.980129241943359375e+00
8.083222389221191406e+00;3.039127588272094727e+00;4.534287929534912109e+00
8.629574775695800781e+00;5.292094230651855469e+00;8.233999252319335938e+00
8.809730529785156250e+00;5.385506153106689453e+00;8.282739639282226562e+00
4.802705287933349609e+00;5.956877231597900391e+00;1.901959538459777832e+00
5.406466960906982422e+00;5.968112468719482422e+00;1.529580235481262207e+00
5.228263854980468750e+00;5.881881713867187500e+00;1.838301777839660645e+00
5.253272056579589844e+00;5.924105644226074219e+00;1.685003638267517090e+00
7.431343078613281250e+00;5.981045246124267578e+00;5.308414459228515625e+00
5.439850330352783203e+00;5.929077148437500000e+00;1.503681540489196777e+00
5.389513015747070312e+00;5.926193237304687500e+00;1.609983086585998535e+00
5.245253562927246094e+00;5.915715694427490234e+00;1.770115852355957031e+00
5.523775100708007812e+00;5.472138404846191406e+00;2.061797618865966797e+00
5.334272861480712891e+00;4.053044319152832031e+00;3.138338088989257812e+00
5.430555343627929688e+00;3.852130413055419922e+00;2.324715137481689453e+00
5.556107521057128906e+00;3.787012338638305664e+00;2.403039693832397461e+00
6.302814960479736328e+00;2.835912227630615234e+00;6.214949131011962891e+00
2.806196689605712891e+00;4.553789615631103516e+00;3.358659029006958008e+00
